Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRF51,OUT010,1109.547701
FDL16,OUT010,1016.095368
DRM48,OUT010,1014.453366
FDP13,OUT010,1004.597452
FDH28,OUT010,965.1869607
FDU21,OUT010,953.9805564
FDZ13,OUT010,938.1544845
FDA13,OUT010,916.9791594
DRJ25,OUT010,898.1049241
DRH23,OUT010,895.7279908
FDR14,OUT010,878.3728771
FDX59,OUT010,871.6842267
FDO32,OUT010,864.9052141
NCE31,OUT019,844.005963
NCY05,OUT010,836.3211268
FDQ47,OUT019,814.8217447
FDM60,OUT010,772.3775959
FDT20,OUT010,769.9080818
FDV28,OUT019,766.5964787
FDD08,OUT010,758.3162683
FDV10,OUT010,748.7262124
NCM17,OUT010,735.1989043
FDF09,OUT010,728.7300033
NCK17,OUT010,720.8066733
FDE29,OUT010,715.3101142
DRL37,OUT010,711.8006857
DRK49,OUT010,699.2454857
NCE19,OUT010,689.8724137
FDQ20,OUT010,683.7809688
FDO51,OUT010,681.9191278
FDE23,OUT010,681.1198557
FDI27,OUT010,665.7252131
FDX10,OUT019,640.9625347
FDL12,OUT010,640.8334492
NCF19,OUT010,613.7074238
FDE44,OUT019,606.7569577
NCY29,OUT010,599.6515566
DRH11,OUT010,583.7987489
FDT04,OUT019,578.5996131
FDU09,OUT010,563.4444096
NCK31,OUT010,543.0083169
FDT45,OUT010,542.4659508
FDQ26,OUT010,542.145085
DRC01,OUT010,534.1475078
FDZ40,OUT010,531.6210286
FDM22,OUT010,525.6744203
NCY41,OUT019,519.4135057
FDX46,OUT010,518.0151625
FDD51,OUT010,512.2217966
FDK36,OUT010,509.4063361
NCM18,OUT010,507.4494993
FDJ50,OUT010,487.9364569
FDG56,OUT010,482.2559325
FDC20,OUT010,466.1337563
NCR42,OUT019,458.4907898
FDG40,OUT019,444.3678274
FDJ32,OUT010,441.2882568
FDW11,OUT010,429.7621584
NCC55,OUT019,428.5286721
NCO54,OUT010,426.8045552
FDY24,OUT019,426.7821624
NCD06,OUT019,421.2039585
NCB55,OUT019,414.4461706
FDV43,OUT019,408.2646219
FDI16,OUT019,394.1753041
FDG59,OUT019,392.9370429
FDU15,OUT019,384.516627
FDH52,OUT010,382.4361195
FDG22,OUT019,379.5542527
FDD08,OUT019,359.4312046
FDM60,OUT019,354.7680407
DRH39,OUT010,339.4510145
FDT36,OUT019,307.3182789
FDK41,OUT010,293.9637155
FDY52,OUT010,292.1107931
FDT23,OUT010,272.2549576
NCD42,OUT019,269.5095239
FDS47,OUT010,267.3941967
FDO38,OUT010,267.2026353
FDT56,OUT019,262.6469922
FDO27,OUT010,260.9061761
FDN52,OUT010,252.3385628
FDL27,OUT010,248.0048802
FDM46,OUT010,246.8470644
FDT22,OUT019,238.1943396
NCO14,OUT019,235.5411566
FDS28,OUT019,229.5172806
FDA39,OUT019,226.4464027
DRH11,OUT019,221.4070915
FDB20,OUT010,213.2561253
FDP56,OUT019,208.8191227
FDI48,OUT019,188.2927518
NCP29,OUT019,187.4225908
NCY17,OUT019,174.6615008
FDA40,OUT010,172.6299961
FDK48,OUT010,168.2425854
FDV08,OUT019,163.1911076
FDY36,OUT010,160.7090935
DRD01,OUT019,159.5928503
NCM18,OUT019,156.7253567
FDP38,OUT019,140.2869545
FDV40,OUT010,130.0631728
FDZ40,OUT019,123.5929067
NCR29,OUT019,122.3788665
FDE02,OUT010,118.6276229
NCK31,OUT019,114.7640061
FDO31,OUT010,114.0046133
FDI28,OUT010,112.6221179
FDT43,OUT019,106.7009925
FDX46,OUT019,105.3537811
DRK39,OUT010,105.1048695
FDC32,OUT010,104.3505707
NCQ18,OUT010,102.5387738
FDO15,OUT010,98.07565439
FDD45,OUT010,93.85784431
DRE15,OUT010,92.61262331
FDD28,OUT019,87.25296701
FDN46,OUT010,84.12504234
FDB04,OUT010,80.08074827
FDD32,OUT010,74.39510078
DRD12,OUT010,73.04259349
FDB50,OUT019,70.40528508
DRH49,OUT010,69.10073417
NCP02,OUT019,68.5567527
FDI05,OUT019,64.3384459
FDQ47,OUT013,59.10256281
FDM04,OUT019,53.88610704
FDT50,OUT010,39.53091049
FDE35,OUT019,32.60766574
FDQ36,OUT013,26.47076433
FDT49,OUT010,25.6424858
FDC59,OUT019,14.55426977
FDO45,OUT010,13.53921683
FDB35,OUT010,13.20028847
NCO02,OUT019,6.965465773
NCW05,OUT010,2.444320219
DRF51,OUT013,0.894915039
FDW25,OUT010,5.042351763
FDH32,OUT010,7.526304885
FDR43,OUT017,8.964128045
FDN48,OUT010,16.25706941
FDP10,OUT010,27.19653145
FDH16,OUT010,27.34330778
NCJ17,OUT019,29.67106816
DRF51,OUT017,30.12739177
FDV27,OUT010,31.93554894
NCJ19,OUT019,40.95635927
FDC44,OUT010,46.5707727
FDS25,OUT010,49.06440216
DRE13,OUT010,53.82357449
FDX10,OUT013,58.0245759
FDR58,OUT010,59.90661839
DRM48,OUT013,61.04543008
FDW16,OUT010,66.78215621
FDZ47,OUT010,71.59925017
NCO06,OUT017,72.8734424
FDF02,OUT010,76.93310758
FDT36,OUT017,86.60171768
NCP14,OUT010,96.06329867
FDU37,OUT019,97.07411002
FDS33,OUT010,102.3395037
FDH02,OUT010,104.5758914
FDK41,OUT019,106.2469891
FDH04,OUT010,107.4402453
FDT04,OUT013,108.5251009
FDV12,OUT010,110.592172
FDD58,OUT010,112.2999152
NCQ43,OUT010,112.4520157
DRM48,OUT017,114.4511218
FDP04,OUT019,115.6369814
FDF58,OUT019,116.4057134
FDH28,OUT013,117.897929
